66606	11.080324	1.463359	1
40057	8.152124	0.294384	3
20132	12.104245	1.425035	3
77147	13.438141	0.788145	1
25177	7.295201	0.523001	1
33781	3.054228	1.094233	1
71305	11.525373	0.428446	1
6939	2.634979	0.473912	2
30240	0.413255	1.000857	1
15725	5.568329	1.637388	2
25440	8.425549	1.543966	3
15942	5.377905	0.442293	2
35185	2.662845	0.549117	1
34605	5.145444	0.227694	1
4936	2.268069	1.181217	2
10974	0.225723	0.376388	2
74572	7.505270	1.391742	1
25530	3.742626	0.456441	1
35398	8.490238	1.395497	3
61267	9.151115	1.255589	1
47403	11.794786	0.667110	3
34768	10.316057	1.558863	3
39223	8.748747	0.124524	3
25961	7.022939	0.710433	3
4206	0.000000	1.590376	2
76968	9.518488	0.097776	1
42151	10.083002	0.999212	3
1180	3.279604	0.865801	2
81429	12.659364	1.599632	1
39986	4.401096	0.496997	1
64456	5.669858	1.525386	1
46495	2.838592	1.422860	1
46452	10.360848	1.187575	3
11950	2.512973	0.153062	2
13163	0.000000	0.682178	2
45109	9.717596	1.377916	3
69930	10.485034	0.530579	1
45820	1.543714	1.648276	1
34396	11.679250	1.254675	3
23055	10.841058	1.688794	3
58289	8.737691	1.569567	1
32496	12.555120	0.409793	3
13673	8.340232	0.871063	3
8498	0.000000	0.632031	2
9607	2.914107	1.068252	2
13505	2.634608	1.429474	2
52282	8.590744	0.780595	3
5458	4.916190	0.764662	2
38774	17.550058	1.692952	3
41845	7.976163	0.632972	3
14828	3.266170	0.904062	2
69961	12.559323	1.621428	1
17316	0.084984	1.284205	2
18706	6.653301	0.894508	3
60264	11.083565	0.875925	1
32457	9.073603	1.183859	3
45989	9.499311	1.049987	3
68706	5.784849	1.319502	1
66929	10.246126	0.101092	1
39743	10.969940	1.362476	3
56685	1.076883	1.380586	1
59777	5.926025	0.573167	1
48908	12.414488	0.153989	3
10639	6.410603	1.032257	2
11163	2.599799	1.489476	2
50982	13.581797	1.494711	3
30102	2.188105	0.656621	1
32585	9.925283	0.846903	3
0	2.165098	1.377586	2
44381	6.898724	1.003866	3
51696	4.923692	0.302820	1
39140	1.850833	1.637985	1
15609	0.000000	1.192937	2
